GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JD2-78-21,by.it_academy.jd2,ex,20,0,0,0,7,0,2,0,2,0
JD2-78-21,by.it_academy.jd2,Person,28,0,0,0,11,0,6,0,6,0
JD2-78-21,by.it_academy.jd2,ViewSave,24,0,0,0,3,0,1,0,1,0
JD2-78-21,by.it_academy.jd2,Hello,0,26,0,4,0,5,0,4,0,2
JD2-78-21,by.it_academy.jd2.web,ServletSessiaa,87,0,6,0,26,0,6,0,3,0
JD2-78-21,by.it_academy.jd2.web,HelloServlet,23,0,0,0,7,0,2,0,2,0
JD2-78-21,by.it_academy.jd2.web,PrintServlet,28,0,2,0,9,0,3,0,2,0
JD2-78-21,by.it_academy.jd2.web,ServletS,268,0,18,0,53,0,13,0,4,0
JD2-78-21,by.it_academy.jd2.web,SecurityFilter,30,0,4,0,10,0,5,0,3,0
JD2-78-21,by.it_academy.jd2.web,TwoNameServlet,47,0,4,0,10,0,4,0,2,0
JD2-78-21,by.it_academy.jd2.web,ServletWithCookies,118,0,8,0,30,0,7,0,3,0
JD2-78-21,by.it_academy.jd2.utils,ApacheCommonsLang3,0,6,0,0,0,2,0,2,0,2
